source,Target,weight
84379,84369,1
27529,27519,1
52231,52271,4
55029,55349,2
58119,58211,4
17299,16249,3
95179,95169,1
43841,43659,1
80149,81171,5
60119,60099,12
53201,53329,1
19031,17151,1
80299,60039,1
96179,96161,2
33029,33019,1
96309,96319,1
59559,57079,2
97149,97019,1
54501,54651,6
52009,52131,2
67329,67479,3
21349,21339,1
23029,23019,1
17381,17031,5
96149,96159,2
40359,40309,1
58319,58349,3
59449,59731,1
70111,70121,4
66021,66099,1
65531,65491,1
50119,50031,1
67391,67401,2
26311,26321,2
60121,60141,12
15161,15201,1
10129,10151,1
54319,54101,7
59211,59221,2
67351,67341,3
53019,51131,1
40011,54011,1
3349,3339,1
64139,64229,1
3241,3111,6
95019,95159,3
67491,67481,3
72059,72049,6
16089,16079,7
12021,12031,5
82149,82139,1
21689,21229,2
66049,66369,1
63369,66059,3
84309,84009,1
78169,78159,2
18149,18129,7
82121,82131,2
84159,84039,1
48081,48091,1
67321,65801,1
22351,22361,1
10189,10359,3
28531,21161,2
72069,72029,9
23481,23149,1
17301,17361,1
22091,22401,2
59511,59309,1
64321,64059,1
10009,10659,4
13101,4339,4
94031,94041,11
11031,11441,1
23191,23201,1
44259,44149,8
58351,58341,2
62169,62159,1
21669,21659,2
25191,25209,1
95099,99189,1
67759,67191,1
44359,44389,4
76199,76551,3
47011,47021,1
70041,70051,3
28389,28379,1
22029,22019,1
26029,26019,1
22331,22081,1
23371,23481,1
46499,46521,11
63051,63061,5
54331,54391,3
13019,9159,1
96351,96361,1
51051,51071,8
67089,67041,2
44101,44119,2
32039,32119,1
3529,3129,12
22529,22531,2
52061,66061,6
75021,75251,1
44411,44291,1
65069,67231,1
20271,28221,10
52441,52369,2
64609,64419,2
44109,44099,1
52311,52489,1
67409,67441,4
13039,10329,2
30049,30039,4
85101,96229,1
28129,28119,1
46289,46008,2
81191,82079,3
77021,77011,10
22459,22469,4
5319,3129,3
58529,58519,1
27411,27401,4
26051,26041,1
60051,60021,3
10349,10339,2
13159,13071,1
54659,54509,7
70051,70061,3
31151,31161,2
80069,80119,2
25551,24701,1
44441,44119,1
54061,54211,4
84229,84349,1
66549,66491,1
65169,65159,4
45269,45319,1
82089,82079,7
22179,22169,3
28289,28279,4
85091,96229,2
92221,92231,5
70231,70241,11
55109,55089,5
45399,45329,3
64341,64351,7
93199,93149,2
59341,59701,2
63071,63081,8
4121,8041,30
11531,10299,4
7319,7419,13
10018,5012,5
42159,42091,1
26241,26209,2
42011,42021,17
17069,17251,2
84039,84139,2
59069,59059,10
25179,25169,1
23031,23371,1
11291,12021,5
66061,62099,1
11379,11189,2
45479,45299,1
82179,82159,1
47811,47801,2
44261,40239,5
43969,43899,1
77079,77189,2
55289,65069,1
2049,2119,8
52311,52429,1
64031,64079,5
22009,21361,5
78119,78129,5
43189,43199,8
42159,13019,1
27091,27101,4
67279,67449,4
54099,54089,4
44649,44639,3
20031,20081,1
8041,8031,32
64551,64529,5
57079,57069,5
52051,53421,1
74039,74029,1
67509,64409,2
2061,80151,1
47059,47049,1
41149,41139,6
84079,84109,4
10149,6049,4
47671,47681,1
49171,49181,2
22169,22159,1
64089,64481,1
59601,59649,2
52389,52529,1
53009,53279,4
20011,20021,3
64419,63379,1
1631,1112,1
52339,52311,1
22159,22149,1
40201,40211,6
45209,45199,1
17211,17201,1
43429,43179,1
46121,46131,1
53199,53189,1
10359,10349,5
67071,64129,7
74021,74031,2
62071,62081,3
65391,65319,1
23229,24339,2
44529,44469,1
46809,46799,1
46419,46429,1
63239,63229,4
64379,64579,1
42071,42091,9
25199,25189,1
20269,20181,2
22499,22441,1
41019,40099,12
52501,52009,1
54539,54099,1
11171,11389,1
53361,53361,1
75121,75009,1
54251,55201,1
58061,58071,1
59091,59251,5
4151,1013,7
22039,22029,1
54331,54247,4
54359,54349,4
43449,43439,3
9047,9048,2
9048,9038,18
28381,28391,4
95149,95139,4
28349,28279,1
21269,21509,1
47549,47559,2
45049,45039,8
97151,97161,1
46321,46331,3
25321,25331,1
84119,84149,5
44539,44541,5
43639,43019,1
64619,64609,5
28299,28451,2
95079,99189,3
70061,61031,3
53261,53261,1
9179,9047,5
11061,11439,4
47539,46999,1
40011,66331,1
22569,22559,1
54319,54531,3
64619,64561,1
72169,72159,1
46361,46371,2
77029,3111,1
21209,21279,1
75141,75329,1
17141,20011,4
70329,70349,2
29029,29019,2
27539,27139,1
54459,55111,4
58421,58311,2
19069,19059,2
55151,55189,1
64021,65011,7
71161,71229,3
55009,55189,1
94009,94071,1
96049,96201,1
52151,52161,2
74041,75319,2
59249,59171,1
76341,76351,1
28229,3222,1
84339,84429,1
25171,25181,1
53279,53279,1
65229,65219,1
28459,28289,3
27399,27389,4
7211,7249,2
56019,53099,4
59039,8057,1
N4579, N4591,1
28639,28321,4
7531,40011,11
22069,22059,1
46241,46191,1
23161,23171,1
63211,63311,1
16159,16149,7
4211,4331,18
40341,40379,1
67501,67511,1
11471,11481,2
2111,80151,3
84489,75251,2
91061,91071,3
75291,75311,9
60201,60261,9
92049,92241,15
22021,22031,1
27369,27411,2
43649,44129,1
21181,21549,2
29149,20299,1
21711,21451,1
44099,44089,1
53231,40189,1
43019,42119,12
5131,5039,7
1541,7551,2
92101,92111,8
9121,9131,10
43549,43429,1
92131,92141,7
21211,21681,2
96141,96131,2
46139,46129,1
80229,80269,1
44139,44129,2
84569,84579,3
21441,21459,3
